HB,-42.8123,147.47945
HBA,-25.324167,152.883056
HBK,-35.625081,147.4671
BHS,30.508333,104.203333
DS,30.2,106.845
ENH,30.291667,109.598333
DM,29.258333,91.765
FM,29.35,111.633333
CKG,29.721667,106.643333
FLG,29.696667,107.375
FJC,29.928333,104.305
AAT,23.889569,91.239725
AT,23.887347,91.234389
AZ,23.742947,92.802867
BH,23.07,112.486667
BL,22.797822,90.297836
BM,24.267444,97.246194
BSE,23.895,106.648333
CM,23.436197,91.187725
CML,23.433778,91.190092
DAC,23.824683,90.4126
GMA,23.531667,99.411667
GYA,23.07,112.486667
CTU,30.575,103.943333
CZH,30.648333,103.686667
FR,30.606667,104.476667
GAO,30.806667,106.186667
DBR,27.465467,95.018597
DRG,27.487133,95.021097
GJ,28.083333,112.216667
BPN,25.7065,91.978694
BR,25.7061,91.975697
DMR,25.880847,93.781578
GGT,26.101889,91.585736
GT,26.108833,91.602678
BAV,40.56,109.995
DKO,40.315,107.0
CHW,39.85,98.35
DY,39.403333,102.813333
DN,44.904119,110.126444
ERE,43.638333,111.953333
CD,40.008333,115.8
HET,68.422322,23.536689
HK,70.489789,22.132453
HL,24.894722,94.913333
HL,68.237544,14.663658
HL,-45.945883,170.161931
HLN,71.007414,25.995947
HMD,31.648814,6.138292
HME,31.664331,6.136181
HMF,70.704244,23.690744
HMI,42.833333,93.65
HO,35.201667,107.773333
HON,29.133333,15.95
HQ,29.046667,106.66
HRM,32.937222,3.356667
HRM,32.928889,3.270556
HTK,69.926383,21.003028
HUY,28.576667,109.448333
HX,26.86,104.281667
HY,28.583333,109.45
HYE,43.100306,6.147639
IBA,38.868344,1.365914
IBE,-11.401111,-69.491389
ICO,-34.967778,-71.215833
ICO,-34.981111,-71.255556
IG,-20.485861,-54.689328
IH,-23.063856,-43.146064
IHZ,44.892778,-63.513056
KFT,46.62515,14.534164
IIM,24.767608,93.904372
ILO,-17.691133,-71.350556
ILZ,26.723333,8.654444
IM,24.758164,93.889097
